歌曲名称,视频内容与歌词语义、语境是否吻合,视频内容是否连贯,视频内容与音乐节奏是否匹配
张碧晨 - 刻骨_82,0,0,1
张镐哲 (Chang Ho Chirl) - 好男人_22_0,0,0,1
张镐哲 (Chang Ho Chirl) - 好男人_22_1,1,0,1
张靓颖 - 画心_74,1,0,1
张艺兴 - 就要这个味_16,0,1,0
张艺兴 - 就要这个味_30,1,0,1
张艺兴 - 就要这个味_4,0,0,0
张艺兴 - 就要这个味_45,0,0,0
张艺兴 - 就要这个味_60,1,1,0
赵雷 - 让我偷偷看你_3_0,0,0,1
赵雷 - 让我偷偷看你_3_1,0,0,0
赵雷 - 让我偷偷看你_3_3,0,0,0
赵雷 - 让我偷偷看你_3_4,0,1,0
赵英俊 - 送你一朵小红花_14_3,1,0,1
郑智化 - 水手_23_0,0,0,1
郑智化 - 水手_23_1,0,1,0
郑智化 - 水手_4_0,1,1,1
郑智化 - 水手_4_1,0,1,0
郑智化 - 水手_42_0,1,0,1
郑智化 - 水手_42_1,0,0,1
周传雄 - 冬天的秘密_4_2,1,1,1
周传雄 - 冬天的秘密_4_3,1,1,1
周华健 - 刀剑若梦_3_0,0,0,0
周华健 - 刀剑若梦_3_1,0,1,1
周华健 - 刀剑若梦_34_0,1,0,0
周华健 - 刀剑若梦_34_1,0,0,0
周华健 _ 齐豫 - 神话情话_29,0,0,0
周华健 _ 齐豫 - 神话情话_57_0,1,0,0
周华健 _ 齐豫 - 神话情话_57_1,1,0,0
